,County,County Code,Deaths,Population
1201,"Cecil County, MD",24015.0,13673.0,1611260.0
1202,"Charles County, MD",24017.0,10813.0,1446397.0
1203,"Dorchester County, MD",24019.0,5044.0,399302.0
1204,"Frederick County, MD",24021.0,24991.0,3522887.0
1205,"Garrett County, MD",24023.0,5440.0,531774.0
1206,"Harford County, MD",24025.0,28684.0,3637550.0
1207,"Howard County, MD",24027.0,18876.0,3422264.0
1208,"Kent County, MD",24029.0,3765.0,292807.0
1209,"Montgomery County, MD",24031.0,77259.0,11426139.0
1210,"Prince George's County, MD",24033.0,35993.0,4253513.0
1211,"Queen Anne's County, MD",24035.0,5803.0,748035.0
1212,"St. Mary's County, MD",24037.0,10021.0,1477128.0
1213,"Somerset County, MD",24039.0,3314.0,260069.0
1214,"Talbot County, MD",24041.0,6530.0,552872.0
1215,"Washington County, MD",24043.0,23907.0,2273366.0
1216,"Wicomico County, MD",24045.0,12166.0,1223921.0
1217,"Worcester County, MD",24047.0,8797.0,754778.0
1218,"Baltimore city, MD",24510.0,46697.0,3572665.0
1219,"Barnstable County, MA",25001.0,48799.0,3759797.0
1220,"Berkshire County, MA",25003.0,26479.0,2252606.0
1221,"Bristol County, MA",25005.0,87977.0,9156490.0
1222,"Dukes County, MA",25007.0,2243.0,270263.0
1223,"Essex County, MA",25009.0,112546.0,12028167.0
1224,"Franklin County, MA",25011.0,11778.0,1240478.0
1225,"Hampden County, MA",25013.0,74901.0,7184757.0
1226,"Hampshire County, MA",25015.0,21402.0,2594374.0
1227,"Middlesex County, MA",25017.0,191206.0,23039081.0
1228,"Nantucket County, MA",25019.0,1120.0,163329.0
1229,"Norfolk County, MA",25021.0,96037.0,10289714.0
1230,"Plymouth County, MA",25023.0,70779.0,7889929.0
1231,"Suffolk County, MA",25025.0,67215.0,8339210.0
1232,"Worcester County, MA",25027.0,118492.0,12878092.0
1233,"Alcona County, MI",26001.0,3113.0,197874.0
1234,"Alger County, MI",26003.0,2006.0,152978.0
1235,"Allegan County, MI",26005.0,15607.0,1927970.0
1236,"Alpena County, MI",26007.0,6341.0,532389.0
1237,"Antrim County, MI",26009.0,4396.0,416762.0
1238,"Arenac County, MI",26011.0,3517.0,286867.0
1239,"Baraga County, MI",26013.0,1690.0,123034.0
1240,"Barry County, MI",26015.0,8863.0,1042285.0
1241,"Bay County, MI",26017.0,20225.0,1880662.0
1242,"Benzie County, MI",26019.0,3270.0,302410.0
1243,"Berrien County, MI",26021.0,25672.0,2309295.0
1244,"Branch County, MI",26023.0,7657.0,782769.0
1245,"Calhoun County, MI",26025.0,22996.0,2099965.0
1246,"Cass County, MI",26027.0,8163.0,854482.0
1247,"Charlevoix County, MI",26029.0,4518.0,459047.0
1248,"Cheboygan County, MI",26031.0,5217.0,454150.0
1249,"Chippewa County, MI",26033.0,5164.0,527219.0
1250,"Clare County, MI",26035.0,6982.0,549722.0
1251,"Clinton County, MI",26037.0,9108.0,1256184.0
1252,"Crawford County, MI",26039.0,2827.0,250524.0
1253,"Delta County, MI",26041.0,7342.0,649680.0
1254,"Dickinson County, MI",26043.0,5607.0,470810.0
1255,"Eaton County, MI",26045.0,15040.0,1751052.0
1256,"Emmet County, MI",26047.0,5417.0,555337.0
1257,"Genesee County, MI",26049.0,59278.0,5928031.0
1258,"Gladwin County, MI",26051.0,5754.0,462436.0
1259,"Gogebic County, MI",26053.0,4171.0,277830.0
1260,"Grand Traverse County, MI",26055.0,12962.0,1483956.0
1261,"Gratiot County, MI",26057.0,7750.0,711829.0
1262,"Hillsdale County, MI",26059.0,7897.0,827203.0
1263,"Houghton County, MI",26061.0,6726.0,623368.0
1264,"Huron County, MI",26063.0,8064.0,601440.0
1265,"Ingham County, MI",26065.0,31365.0,4102377.0
1266,"Ionia County, MI",26067.0,8498.0,1074878.0
1267,"Iosco County, MI",26069.0,6950.0,463432.0
1268,"Iron County, MI",26071.0,3561.0,213408.0
1269,"Isabella County, MI",26073.0,7348.0,1121260.0
1270,"Jackson County, MI",26075.0,25916.0,2592214.0
1271,"Kalamazoo County, MI",26077.0,32149.0,3801760.0
1272,"Kalkaska County, MI",26079.0,2967.0,303545.0
1273,"Kent County, MI",26081.0,69504.0,9286015.0
1274,"Keweenaw County, MI",26083.0,411.0,38563.0
1275,"Lake County, MI",26085.0,2363.0,181963.0
1276,"Lapeer County, MI",26087.0,12560.0,1570391.0
1277,"Leelanau County, MI",26089.0,3473.0,369325.0
1278,"Lenawee County, MI",26091.0,16423.0,1722659.0
1279,"Livingston County, MI",26093.0,20656.0,3116459.0
1280,"Luce County, MI",26095.0,1277.0,101063.0
1281,"Mackinac County, MI",26097.0,2119.0,164432.0
1282,"Macomb County, MI",26099.0,131860.0,13291045.0
1283,"Manistee County, MI",26101.0,5181.0,421240.0
1284,"Marquette County, MI",26103.0,11203.0,1137800.0
1285,"Mason County, MI",26105.0,5764.0,501612.0
1286,"Mecosta County, MI",26107.0,6223.0,722982.0
1287,"Menominee County, MI",26109.0,4747.0,422436.0
1288,"Midland County, MI",26111.0,11927.0,1443504.0
1289,"Missaukee County, MI",26113.0,2622.0,264131.0
1290,"Monroe County, MI",26115.0,22796.0,2606630.0
1291,"Montcalm County, MI",26117.0,10096.0,1090209.0
1292,"Montmorency County, MI",26119.0,2759.0,176021.0
1293,"Muskegon County, MI",26121.0,25403.0,2570204.0
1294,"Newaygo County, MI",26123.0,7877.0,848578.0
1295,"Oakland County, MI",26125.0,148232.0,17566989.0
1296,"Oceana County, MI",26127.0,4452.0,469606.0
1297,"Ogemaw County, MI",26129.0,5300.0,383043.0
1298,"Ontonagon County, MI",26131.0,1915.0,123781.0
1299,"Osceola County, MI",26133.0,4051.0,415058.0
1300,"Oscoda County, MI",26135.0,2100.0,158500.0
1301,"Otsego County, MI",26137.0,4089.0,426878.0
1302,"Ottawa County, MI",26139.0,28634.0,4432753.0
1303,"Presque Isle County, MI",26141.0,3295.0,242437.0
1304,"Roscommon County, MI",26143.0,6839.0,440318.0
1305,"Saginaw County, MI",26145.0,30427.0,2852914.0
1306,"St. Clair County, MI",26147.0,27618.0,2833540.0
1307,"St. Joseph County, MI",26149.0,10574.0,1059506.0
1308,"Sanilac County, MI",26151.0,8382.0,773243.0
1309,"Schoolcraft County, MI",26153.0,1912.0,138981.0
1310,"Shiawassee County, MI",26155.0,11776.0,1255844.0
1311,"Tuscola County, MI",26157.0,9754.0,991367.0
1312,"Van Buren County, MI",26159.0,11689.0,1274791.0
1313,"Washtenaw County, MI",26161.0,30372.0,4794922.0
1314,"Wayne County, MI",26163.0,192525.0,18681781.0
1315,"Wexford County, MI",26165.0,5713.0,566013.0
